Số Báo Danh, Họ và Tên, Toán, Ngữ Văn, Vật Lý, Hóa Học, Sinh Học, Lịch Sử, Địa Lý, GDCD, KHTN, KHXH, Ngoại Ngữ, Ghi Chú, Tỉnh
HT1208879,,7.8,9.0,,,,9.75,9.0,9.0,,,6.0,N1,Ha Tinh
HT1208697,,8.0,9.0,4.5,3.75,3.75,,,,,,6.0,N1,Ha Tinh
HT1210691,,7.8,9.0,,,,6.75,8.25,7.75,,,7.0,N1,Ha Tinh
HT1209724,,7.6,8.75,,,,6.25,7.0,8.5,,,8.2,N1,Ha Tinh
HT1213236,,9.0,8.75,,,,4.0,6.0,7.0,,,8.6,N1,Ha Tinh
HT1216595,,9.4,8.75,,,,7.25,8.25,7.25,,,9.2,N1,Ha Tinh
HT1210906,,5.0,8.75,,,,9.25,10.0,7.0,,,6.4,N1,Ha Tinh
HT1216248,,4.8,8.75,,,,10.0,8.5,8.75,,,6.4,N1,Ha Tinh
